location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Russia,RUS,2020-12-15,28500,28500,,,,,0.02,0.02,,,,,
Russia,RUS,2020-12-16,,,,,,3357,,,,,23,3357,0.002
Russia,RUS,2020-12-17,,,,,,3357,,,,,23,3357,0.002
Russia,RUS,2020-12-18,,,,,,3357,,,,,23,3357,0.002
Russia,RUS,2020-12-19,,,,,,3357,,,,,23,3357,0.002
Russia,RUS,2020-12-20,,,,,,3357,,,,,23,3357,0.002
Russia,RUS,2020-12-21,,,,,,3357,,,,,23,3357,0.002
Russia,RUS,2020-12-22,52000,52000,,,,3357,0.04,0.04,,,23,3357,0.002
Russia,RUS,2020-12-23,,,,,,12592,,,,,86,12592,0.009
Russia,RUS,2020-12-24,,,,,,21827,,,,,150,21827,0.015
Russia,RUS,2020-12-25,,,,,,31061,,,,,213,31061,0.021
Russia,RUS,2020-12-26,,,,,,40296,,,,,276,40296,0.028
Russia,RUS,2020-12-27,,,,,,49531,,,,,339,49531,0.034
Russia,RUS,2020-12-28,,,,,,58765,,,,,403,58765,0.04
Russia,RUS,2020-12-29,,,,,,68000,,,,,466,68000,0.047
Russia,RUS,2020-12-30,,,,,,68000,,,,,466,68000,0.047
Russia,RUS,2020-12-31,,,,,,68000,,,,,466,68000,0.047
Russia,RUS,2021-01-01,,,,,,68000,,,,,466,68000,0.047
Russia,RUS,2021-01-02,800000,800000,,,,68000,0.55,0.55,,,466,68000,0.047
Russia,RUS,2021-01-03,,,,,,60883,,,,,417,60883,0.042
Russia,RUS,2021-01-04,,,,,,53766,,,,,368,53766,0.037
Russia,RUS,2021-01-05,,,,,,46649,,,,,320,46649,0.032
Russia,RUS,2021-01-06,,,,,,39532,,,,,271,39532,0.027
Russia,RUS,2021-01-07,,,,,,32416,,,,,222,32416,0.022
Russia,RUS,2021-01-08,,,,,,25299,,,,,173,25299,0.017
Russia,RUS,2021-01-09,,,,,,18182,,,,,125,18182,0.012
Russia,RUS,2021-01-10,,,,,,18182,,,,,125,18182,0.012
Russia,RUS,2021-01-11,,,,,,18182,,,,,125,18182,0.012
Russia,RUS,2021-01-12,,,,,,18182,,,,,125,18182,0.012
Russia,RUS,2021-01-13,1000000,1000000,,,,18182,0.69,0.69,,,125,18182,0.012
Russia,RUS,2021-01-14,,,,,,28233,,,,,193,24984,0.017
Russia,RUS,2021-01-15,,,,,,38284,,,,,262,31787,0.022
Russia,RUS,2021-01-16,,,,,,48335,,,,,331,38589,0.026
Russia,RUS,2021-01-17,,,,,,58385,,,,,400,45391,0.031
Russia,RUS,2021-01-18,,,,,,68436,,,,,469,52194,0.036
